rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime,num_benchmarks,num_rows
"(0.5, 0.7, 0.5)",0.5,0.7,0.5,2.1901924405151587,1.4090730632098865,3.084167205992403,4,4
"(0.5, 0.7, 0.6)",0.5,0.7,0.6,2.0022534959552285,1.4342639011270135,2.869655252040161,4,4
"(0.5, 0.7, 0.7)",0.5,0.7,0.7,1.851934138835037,1.461921043916444,2.7105521759660554,4,4
"(0.5, 0.7, 0.8)",0.5,0.7,0.8,1.8456667126641437,1.480996590866641,2.7345132432978656,4,4
"(0.5, 0.7, 0.9)",0.5,0.7,0.9,1.8456667126641437,1.506729271688896,2.783799424408163,4,4
"(0.5, 0.7, 1.0)",0.5,0.7,1.0,1.8456667126641437,1.531747405594174,2.8258733833247613,4,4
"(0.5, 0.7, 1.1)",0.5,0.7,1.1,1.8456667126641437,1.5560508238325277,2.874625396281382,4,4
"(0.5, 0.7, 1.2)",0.5,0.7,1.2,1.8456667126641437,1.583340233225053,2.922261742468806,4,4
"(0.5, 0.7, 1.3)",0.5,0.7,1.3,1.8456667126641437,1.6003578047640592,2.9533679492066627,4,4
"(0.5, 0.7, 1.4)",0.5,0.7,1.4,1.8456667126641437,1.6275432077361645,3.0051894820656906,4,4
"(0.5, 0.7, 1.5)",0.5,0.7,1.5,1.8456667126641437,1.6492433915899973,3.0433839794710624,4,4
"(0.5, 0.7, 1.6)",0.5,0.7,1.6,1.8456667126641437,1.6670439821703702,3.076617563793537,4,4
"(0.5, 0.7, 1.7)",0.5,0.7,1.7,1.8456667126641437,1.6924796568042626,3.1221821278082773,4,4
"(0.5, 0.7, 1.8)",0.5,0.7,1.8,1.8456667126641437,1.7109559172681936,3.161120738605893,4,4
"(0.5, 0.7, 1.9)",0.5,0.7,1.9,1.8456667126641437,1.7348045163805985,3.2007387124425746,4,4
"(0.5, 0.7, 2.0)",0.5,0.7,2.0,1.8456667126641437,1.7617605407594386,3.251385140197186,4,4
"(0.5, 0.8, 0.5)",0.5,0.8,0.5,2.1901924405151587,1.4288341559427298,3.126314939032121,4,4
"(0.5, 0.8, 0.6)",0.5,0.8,0.6,2.0022534959552285,1.4564282654529053,2.9173022482122892,4,4
"(0.5, 0.8, 0.7)",0.5,0.8,0.7,1.851934138835037,1.478520625040041,2.7384080302531957,4,4
"(0.5, 0.8, 0.8)",0.5,0.8,0.8,1.7979820256853176,1.498196242399334,2.693242383873687,4,4
"(0.5, 0.8, 0.9)",0.5,0.8,0.9,1.7979820256853176,1.5231931768240692,2.739130628425776,4,4
"(0.5, 0.8, 1.0)",0.5,0.8,1.0,1.7979820256853176,1.5505314281524267,2.7887158101191107,4,4
"(0.5, 0.8, 1.1)",0.5,0.8,1.1,1.7979820256853176,1.574740611201466,2.832561821666424,4,4
"(0.5, 0.8, 1.2)",0.5,0.8,1.2,1.7979820256853176,1.597914627734335,2.8720100824120984,4,4
"(0.5, 0.8, 1.3)",0.5,0.8,1.3,1.7979820256853176,1.618900089484128,2.9086732355949003,4,4
"(0.5, 0.8, 1.4)",0.5,0.8,1.4,1.7979820256853176,1.6436960307476607,2.9568163692577176,4,4
"(0.5, 0.8, 1.5)",0.5,0.8,1.5,1.7979820256853176,1.6676445048725577,2.9982622462444857,4,4
"(0.5, 0.8, 1.6)",0.5,0.8,1.6,1.7979820256853176,1.6837808214530683,3.0275246954821804,4,4
"(0.5, 0.8, 1.7)",0.5,0.8,1.7,1.7979820256853176,1.708495237846078,3.071370335596427,4,4
"(0.5, 0.8, 1.8)",0.5,0.8,1.8,1.7979820256853176,1.729214611217141,3.107523590559762,4,4
"(0.5, 0.8, 1.9)",0.5,0.8,1.9,1.7979820256853176,1.7529902581945418,3.15286175905274,4,4
"(0.5, 0.8, 2.0)",0.5,0.8,2.0,1.7979820256853176,1.7776110671481167,3.1939512421966345,4,4
